epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,700.055,1.82091,3.34533,0.00374,0.68626,0.66215,0.72472,0.31342,1.95406,3.53643,0.00555,0.000990365,0.000990365,0.000990365
43,717.049,1.83651,3.48694,0.00377,0.63538,0.70339,0.72156,0.30635,1.94642,3.5356,0.00544,0.000973861,0.000973861,0.000973861
44,733.908,1.80937,3.32205,0.00375,0.66583,0.68436,0.7401,0.31881,1.90471,3.49724,0.00532,0.000957358,0.000957358,0.000957358
45,750.743,1.78843,3.2861,0.00366,0.66196,0.70193,0.72988,0.32438,1.92036,3.44022,0.00542,0.000940855,0.000940855,0.000940855
46,767.461,1.77994,3.2282,0.00363,0.65797,0.69816,0.73351,0.32733,1.89951,3.47624,0.00535,0.000924352,0.000924352,0.000924352
47,784.24,1.78774,3.28786,0.00363,0.65999,0.72977,0.73967,0.3206,1.90768,3.47081,0.00537,0.000907848,0.000907848,0.000907848
48,800.789,1.77933,3.25181,0.00369,0.65099,0.7198,0.73793,0.32853,1.89546,3.4222,0.00529,0.000891345,0.000891345,0.000891345
49,817.418,1.77236,3.30933,0.00357,0.69754,0.69829,0.74386,0.32187,1.9384,3.35962,0.00547,0.000874842,0.000874842,0.000874842
50,834.074,1.79137,3.25859,0.00365,0.65065,0.72106,0.73707,0.3253,1.92808,3.33918,0.0054,0.000858338,0.000858338,0.000858338
51,850.564,1.74812,3.19197,0.00354,0.66556,0.70151,0.73327,0.32478,1.89789,3.33294,0.00529,0.000841835,0.000841835,0.000841835
52,867.377,1.73226,3.16201,0.00352,0.64064,0.72751,0.73505,0.33163,1.88834,3.37071,0.00531,0.000825332,0.000825332,0.000825332
53,884.546,1.70647,3.1104,0.0035,0.65549,0.73064,0.74162,0.33491,1.86597,3.30175,0.00518,0.000808828,0.000808828,0.000808828
54,901.743,1.72122,3.08474,0.00349,0.67254,0.71432,0.74943,0.33574,1.87545,3.34718,0.0052,0.000792325,0.000792325,0.000792325
55,919.123,1.71825,3.15793,0.00349,0.67225,0.70733,0.75044,0.34161,1.8802,3.28001,0.00525,0.000775822,0.000775822,0.000775822
56,936.28,1.69693,3.129,0.00349,0.67138,0.72549,0.75379,0.34914,1.83739,3.31946,0.00504,0.000759318,0.000759318,0.000759318
57,953.258,1.73057,3.13456,0.00348,0.65299,0.70579,0.73418,0.3337,1.88021,3.32946,0.00523,0.000742815,0.000742815,0.000742815
58,969.664,1.73914,3.12082,0.00357,0.63674,0.69784,0.7244,0.33552,1.85614,3.37168,0.0052,0.000726312,0.000726312,0.000726312
